branchId,departmentId,serviceType,sameDepartmentPeopleAhead,dayOfWeek,hourOfDay,actualWaitMinutes
651b2c3f,deptC,kiosk,11,2,13,83.39
651b2c3d,deptC,walk-in,8,4,19,105.33
651b2c3f,deptB,online,18,2,12,229.94
651b2c3f,deptC,kiosk,8,2,18,68.62
651b2c3d,deptC,online,0,5,14,5.12
651b2c3e,deptA,kiosk,12,1,20,169.82
651b2c3e,deptC,online,6,0,9,62.52
651b2c3e,deptA,kiosk,4,0,9,61.86
651b2c3f,deptC,kiosk,3,2,14,32.14
651b2c3d,deptB,walk-in,5,6,9,116.07
651b2c3d,deptC,online,12,3,10,93.45
651b2c3f,deptB,kiosk,1,4,15,25.80
651b2c3e,deptC,walk-in,10,0,11,152.45
651b2c3d,deptA,kiosk,9,3,20,85.07
651b2c3f,deptC,online,0,4,15,4.45
651b2c3f,deptB,walk-in,13,2,16,215.39
651b2c3d,deptB,online,11,1,12,167.74
651b2c3f,deptA,walk-in,15,5,11,207.85
651b2c3f,deptB,walk-in,11,0,18,219.60
651b2c3d,deptB,online,15,1,9,187.54
651b2c3e,deptB,kiosk,13,6,20,320.79
651b2c3f,deptB,online,9,5,14,99.05
651b2c3d,deptC,kiosk,14,6,8,161.24
651b2c3e,deptC,kiosk,10,0,17,147.55
651b2c3f,deptB,walk-in,12,4,12,196.66
651b2c3f,deptB,online,5,4,8,50.02
651b2c3d,deptA,kiosk,11,5,14,124.79
651b2c3f,deptB,online,8,2,18,90.16
651b2c3f,deptC,kiosk,14,6,18,106.82
651b2c3f,deptA,walk-in,8,6,12,123.51
651b2c3e,deptC,online,15,6,13,148.74
651b2c3f,deptB,walk-in,11,4,10,240.51
651b2c3d,deptB,online,15,2,14,201.39
651b2c3f,deptA,kiosk,13,6,17,167.31
651b2c3d,deptA,kiosk,11,0,11,141.19
651b2c3d,deptB,walk-in,6,2,17,189.85
651b2c3f,deptB,walk-in,2,4,8,42.50
651b2c3d,deptC,online,4,0,8,33.62
651b2c3d,deptA,walk-in,9,3,19,136.73
651b2c3d,deptC,kiosk,12,5,14,98.90
651b2c3e,deptB,online,15,3,9,180.91
651b2c3f,deptC,online,9,3,15,50.10
651b2c3e,deptC,kiosk,9,1,11,120.15
651b2c3d,deptB,online,20,1,17,339.23
651b2c3e,deptC,kiosk,11,3,15,100.16
651b2c3f,deptB,walk-in,18,1,12,328.18
651b2c3f,deptC,kiosk,14,0,10,114.43
651b2c3e,deptB,online,23,1,19,424.72
651b2c3e,deptB,walk-in,13,6,12,466.22
651b2c3d,deptC,walk-in,20,1,19,202.92
651b2c3d,deptA,kiosk,10,1,11,114.02
651b2c3e,deptA,walk-in,4,0,8,69.16
651b2c3f,deptA,online,3,4,8,27.63
651b2c3e,deptA,walk-in,6,1,17,124.36
651b2c3f,deptB,walk-in,10,4,11,189.22
651b2c3f,deptA,online,3,0,16,27.05
651b2c3e,deptB,kiosk,8,5,19,257.88
651b2c3d,deptB,online,12,4,10,155.39
651b2c3d,deptC,kiosk,5,6,9,53.68
651b2c3e,deptB,walk-in,15,2,13,471.96
651b2c3d,deptB,walk-in,7,3,15,136.92
651b2c3f,deptB,walk-in,8,5,19,174.50
651b2c3e,deptA,online,4,1,15,34.17
651b2c3e,deptB,kiosk,14,6,8,319.82
651b2c3d,deptC,walk-in,1,6,14,20.02
651b2c3e,deptB,kiosk,12,1,17,323.27
651b2c3d,deptC,online,3,5,16,28.54
651b2c3d,deptB,kiosk,5,6,14,129.18
651b2c3f,deptC,online,0,1,16,4.98
651b2c3e,deptC,walk-in,17,3,17,280.53
651b2c3d,deptC,kiosk,1,1,9,15.94
651b2c3f,deptB,online,21,0,10,237.47
651b2c3d,deptA,kiosk,5,0,20,76.22
651b2c3f,deptC,kiosk,14,4,13,112.18
651b2c3d,deptA,walk-in,17,0,18,349.31
651b2c3f,deptC,kiosk,11,4,16,81.10
651b2c3e,deptB,online,10,6,14,231.22
651b2c3e,deptA,online,16,0,17,204.99
651b2c3f,deptA,online,20,6,17,232.98
651b2c3d,deptC,kiosk,16,6,18,137.85
651b2c3d,deptB,kiosk,15,5,18,337.81
651b2c3d,deptA,kiosk,5,3,14,79.03
651b2c3e,deptA,walk-in,9,3,11,183.83
651b2c3d,deptA,walk-in,3,1,17,54.56
651b2c3f,deptA,walk-in,13,2,13,166.54
651b2c3d,deptA,walk-in,9,6,14,151.70
651b2c3e,deptB,walk-in,12,2,9,238.34
651b2c3e,deptB,walk-in,10,3,13,273.55
651b2c3f,deptB,online,17,0,17,303.12
651b2c3f,deptC,online,3,0,14,26.20
651b2c3f,deptA,walk-in,8,0,13,104.02
651b2c3d,deptC,kiosk,16,6,18,211.97
651b2c3d,deptB,online,13,5,18,162.16
651b2c3e,deptA,kiosk,10,3,10,155.01
651b2c3d,deptA,online,10,1,11,113.43
651b2c3d,deptB,kiosk,10,0,17,216.28
651b2c3f,deptA,kiosk,11,0,17,150.43
651b2c3f,deptB,walk-in,14,3,11,285.99
651b2c3f,deptB,walk-in,0,5,20,11.91
651b2c3d,deptB,online,1,6,14,27.45
651b2c3d,deptB,kiosk,5,5,13,104.31
651b2c3d,deptA,kiosk,21,2,17,252.56
651b2c3e,deptB,walk-in,0,6,14,21.68
651b2c3d,deptC,kiosk,18,3,12,195.18
651b2c3d,deptA,walk-in,5,5,15,60.48
651b2c3e,deptA,online,0,6,15,10.79
651b2c3d,deptA,kiosk,12,3,19,154.11
651b2c3d,deptC,walk-in,13,0,14,156.89
651b2c3e,deptA,online,11,3,8,113.11
651b2c3f,deptB,walk-in,14,5,8,221.22
651b2c3d,deptA,online,12,4,8,101.10
651b2c3e,deptC,online,15,2,8,103.91
651b2c3e,deptC,walk-in,24,2,10,238.91
651b2c3d,deptC,kiosk,15,4,10,120.34
651b2c3e,deptB,walk-in,18,1,18,426.40
651b2c3f,deptA,online,6,5,15,43.35
651b2c3d,deptB,walk-in,8,2,16,191.44
651b2c3e,deptB,walk-in,14,3,20,311.31
651b2c3f,deptB,online,12,1,11,114.83
651b2c3e,deptC,walk-in,3,0,20,57.63
651b2c3d,deptC,kiosk,14,2,15,138.21
651b2c3e,deptB,walk-in,11,1,11,215.08
651b2c3f,deptB,walk-in,2,4,9,40.90
651b2c3e,deptA,online,12,5,19,121.95
651b2c3d,deptB,kiosk,0,3,15,18.04
651b2c3d,deptC,kiosk,0,0,15,8.75
651b2c3d,deptA,kiosk,19,4,11,255.44
651b2c3d,deptB,kiosk,17,0,19,360.98
651b2c3d,deptB,kiosk,5,1,8,86.13
651b2c3e,deptA,online,24,0,10,273.15
651b2c3f,deptA,kiosk,19,0,17,248.81
651b2c3f,deptB,online,8,6,18,130.29
651b2c3e,deptA,online,18,3,11,184.54
651b2c3e,deptA,walk-in,17,4,11,267.80
651b2c3e,deptB,online,2,2,16,50.19
651b2c3d,deptA,walk-in,19,0,12,329.76
651b2c3d,deptA,online,9,0,17,116.03
651b2c3d,deptA,online,14,2,15,88.49
651b2c3e,deptB,walk-in,6,3,18,160.96
651b2c3f,deptC,walk-in,14,5,11,166.84
651b2c3f,deptA,online,14,1,20,109.93
651b2c3f,deptB,kiosk,10,3,16,133.77
651b2c3f,deptC,kiosk,9,3,13,73.09
651b2c3d,deptB,walk-in,16,0,17,502.35
651b2c3f,deptC,walk-in,24,5,11,242.94
651b2c3f,deptB,kiosk,15,4,15,239.08
651b2c3e,deptA,kiosk,10,1,14,123.14
651b2c3e,deptC,online,25,1,11,214.09
651b2c3d,deptB,online,8,5,13,150.60
651b2c3f,deptB,walk-in,6,5,14,102.61
651b2c3f,deptA,walk-in,6,4,9,69.55
651b2c3d,deptA,walk-in,4,6,16,61.33
651b2c3f,deptC,kiosk,22,2,19,237.27
651b2c3d,deptC,online,10,2,20,63.50
651b2c3d,deptC,online,10,3,16,68.16
651b2c3d,deptA,online,10,0,16,104.59
651b2c3f,deptC,walk-in,13,1,14,111.05
651b2c3e,deptC,kiosk,3,0,9,43.71
651b2c3f,deptB,kiosk,6,3,8,99.13
651b2c3f,deptA,online,16,2,10,94.23
651b2c3d,deptC,online,18,2,11,131.16
651b2c3d,deptA,online,5,6,16,59.89
651b2c3d,deptA,kiosk,3,1,8,54.66
651b2c3e,deptC,kiosk,11,6,13,190.00
651b2c3d,deptA,walk-in,18,1,17,219.70
651b2c3f,deptB,kiosk,12,1,19,228.76
651b2c3f,deptC,kiosk,14,1,20,105.31
651b2c3e,deptA,kiosk,9,4,16,131.51
651b2c3e,deptB,online,16,5,12,318.42
651b2c3d,deptB,kiosk,4,4,14,77.25
651b2c3d,deptB,kiosk,6,3,20,108.71
651b2c3d,deptC,online,11,5,20,80.94
651b2c3f,deptA,online,6,0,12,54.44
651b2c3e,deptC,online,7,0,17,102.83
651b2c3e,deptA,walk-in,2,3,8,44.04
651b2c3f,deptA,kiosk,8,6,12,88.38
651b2c3e,deptC,online,6,1,8,62.63
651b2c3d,deptA,online,5,2,16,47.70
651b2c3e,deptA,walk-in,16,0,12,349.04
651b2c3f,deptB,online,6,3,18,77.55
651b2c3e,deptC,kiosk,10,4,10,99.45
651b2c3d,deptC,online,5,0,14,47.89
651b2c3e,deptA,kiosk,2,6,15,29.61
651b2c3d,deptB,walk-in,18,0,17,475.12
651b2c3d,deptC,walk-in,11,4,15,98.91
651b2c3f,deptB,kiosk,4,0,15,96.60
651b2c3d,deptB,kiosk,15,4,12,173.61
651b2c3d,deptC,kiosk,8,0,18,96.06
651b2c3d,deptB,online,12,1,19,229.53
651b2c3f,deptB,kiosk,18,5,19,148.17
651b2c3e,deptC,walk-in,16,2,11,243.17
651b2c3f,deptC,walk-in,14,2,10,144.29
651b2c3f,deptA,online,9,6,17,106.18
651b2c3d,deptA,walk-in,7,0,15,123.94
651b2c3d,deptA,kiosk,22,2,10,260.72
651b2c3d,deptA,kiosk,0,6,13,14.01
651b2c3e,deptA,kiosk,3,5,13,56.89
651b2c3e,deptA,walk-in,11,1,17,185.41
651b2c3f,deptC,online,25,0,12,221.17
651b2c3d,deptB,kiosk,5,4,17,132.27
651b2c3e,deptB,walk-in,18,6,17,420.69
651b2c3d,deptB,online,12,6,20,208.53
651b2c3e,deptC,kiosk,5,3,14,46.58
651b2c3f,deptA,online,7,3,20,49.12
651b2c3d,deptA,kiosk,12,0,14,137.85
651b2c3f,deptA,kiosk,2,1,20,26.99
651b2c3f,deptC,walk-in,21,6,19,284.75
651b2c3f,deptB,kiosk,3,6,14,46.46
651b2c3e,deptC,kiosk,6,5,18,86.11
651b2c3d,deptC,kiosk,4,5,16,33.43
651b2c3f,deptB,walk-in,15,0,11,414.42
651b2c3d,deptB,online,5,0,16,94.98
651b2c3f,deptA,online,11,2,10,93.02
651b2c3d,deptB,online,10,3,19,234.72
651b2c3e,deptC,online,12,3,19,115.46
651b2c3f,deptA,walk-in,1,5,20,16.09
651b2c3f,deptB,walk-in,2,3,8,31.32
651b2c3e,deptB,online,12,0,17,318.53
651b2c3e,deptC,online,22,0,11,295.94
651b2c3f,deptC,kiosk,14,5,10,112.43
651b2c3e,deptC,kiosk,12,3,16,122.07
651b2c3f,deptA,walk-in,8,6,18,123.90
651b2c3d,deptB,kiosk,15,6,19,315.71
651b2c3e,deptA,online,10,3,15,95.94
651b2c3f,deptA,kiosk,6,6,10,64.11
651b2c3d,deptC,kiosk,19,6,19,238.90
651b2c3f,deptC,online,10,4,18,85.46
651b2c3e,deptB,walk-in,8,0,13,332.03
651b2c3f,deptB,online,11,1,16,148.05
651b2c3e,deptB,online,5,1,16,101.70
651b2c3f,deptC,walk-in,0,0,20,9.02
651b2c3d,deptA,walk-in,0,5,13,14.52
651b2c3d,deptC,walk-in,11,6,19,154.24
651b2c3d,deptB,walk-in,9,4,10,195.43
651b2c3f,deptB,online,11,5,17,148.27
651b2c3e,deptA,walk-in,11,3,17,189.59
651b2c3d,deptA,walk-in,19,2,12,252.94
651b2c3d,deptB,online,8,5,8,97.36
651b2c3d,deptA,online,18,3,17,204.74
651b2c3f,deptC,walk-in,4,1,18,41.47
651b2c3d,deptA,walk-in,3,4,14,45.48
651b2c3e,deptB,walk-in,3,0,14,89.55
651b2c3f,deptC,online,10,5,19,70.27
651b2c3f,deptA,online,6,4,8,49.44
651b2c3f,deptB,online,7,4,12,107.35
651b2c3e,deptA,kiosk,10,1,16,114.79
651b2c3e,deptC,kiosk,8,0,12,116.34
651b2c3d,deptC,walk-in,9,3,10,93.97
651b2c3f,deptB,kiosk,3,1,15,49.47
651b2c3e,deptA,online,7,1,17,97.63
651b2c3d,deptB,online,14,2,10,184.55
651b2c3f,deptB,online,12,1,14,163.72
651b2c3d,deptC,kiosk,15,6,20,163.13
651b2c3f,deptA,walk-in,10,2,11,100.51
651b2c3e,deptB,online,11,5,9,208.63
651b2c3e,deptC,walk-in,14,1,19,217.81
651b2c3e,deptB,walk-in,15,3,19,367.23
651b2c3e,deptA,online,13,3,10,130.07
651b2c3e,deptA,online,13,1,14,119.53
651b2c3f,deptA,kiosk,11,0,14,129.05
651b2c3d,deptB,walk-in,7,1,8,130.67
651b2c3d,deptC,online,4,5,18,41.53
651b2c3f,deptA,online,1,0,20,15.13
651b2c3d,deptC,kiosk,12,6,19,170.62
651b2c3e,deptC,walk-in,13,1,17,179.74
651b2c3e,deptB,walk-in,12,4,18,366.44
651b2c3f,deptA,walk-in,11,4,20,149.46
651b2c3d,deptB,kiosk,5,0,16,111.36
651b2c3e,deptC,walk-in,12,6,19,158.14
651b2c3d,deptC,walk-in,17,1,10,210.97
651b2c3d,deptB,online,7,6,9,107.39
651b2c3d,deptC,online,17,5,19,169.05
651b2c3d,deptC,walk-in,9,4,10,88.39
651b2c3d,deptB,kiosk,6,3,13,147.80
651b2c3e,deptA,online,8,6,14,105.63
651b2c3e,deptB,walk-in,9,2,17,277.36
651b2c3e,deptB,online,7,0,8,102.79
651b2c3f,deptC,online,15,1,19,93.01
651b2c3d,deptA,online,14,1,8,142.25
651b2c3d,deptC,walk-in,3,4,16,41.59
651b2c3d,deptA,walk-in,12,4,17,191.15
651b2c3e,deptB,walk-in,22,5,18,560.01
651b2c3e,deptA,kiosk,14,1,15,163.37
651b2c3f,deptA,online,5,0,9,39.60
651b2c3e,deptB,online,8,5,12,159.10
651b2c3e,deptA,online,20,5,12,245.80
651b2c3f,deptC,kiosk,11,0,16,102.47
651b2c3e,deptB,walk-in,15,5,12,486.95
651b2c3d,deptC,kiosk,25,4,12,276.87
651b2c3e,deptA,kiosk,18,5,19,256.39
651b2c3f,deptB,kiosk,14,0,18,258.80
651b2c3d,deptA,walk-in,13,4,13,168.61
651b2c3e,deptA,walk-in,13,3,12,264.68
651b2c3f,deptC,kiosk,7,6,8,68.33
651b2c3f,deptC,kiosk,7,5,11,77.43
651b2c3e,deptA,kiosk,10,1,16,112.21
651b2c3d,deptA,walk-in,4,3,9,63.19
651b2c3d,deptB,online,16,1,18,209.01
651b2c3f,deptC,online,8,4,12,64.83
651b2c3f,deptA,kiosk,1,1,16,19.95
651b2c3d,deptB,online,0,2,15,8.97
651b2c3e,deptC,kiosk,4,4,17,72.60
651b2c3d,deptA,online,10,0,16,110.61
651b2c3e,deptA,online,16,4,12,203.98
651b2c3f,deptB,kiosk,7,3,8,123.27
